,salary_to,salary_from,req,resp,name,vacancy_type,skills,level
128,275862.068965517,137931.034482759,"Strong data-driven approach and knowledge of statistics. 3+ years of experience with web/mobile analytical systems (GA, Flurry...",Organizing all users&#39; data into one system (to link all user aquisitions channels and users’ behaviour data). Automatizing all users...,Senior Data Analyst (Marketing),data engineer,integration;,middle
149,NA,206896.551724138,"Понимание принципов работы различных архитектур нейронных сетей, знание алгоритмов <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>. Опыт использования нейронных сетей на <highlighttext>TensorFlow</highlighttext> / <highlighttext>Keras</highlighttext> / Caffe.",Оптимизация и улучшение качества алгоритмов трекинга людей. Доработка и оптимизация основного кода ProcessingUnit. Разработка механизмов обновления и сбора информации клиентских...,Senior python developer,data scientist,algorithms;parsing;python;caffe;keras;tensorflow,senior
152,NA,229885.057471264,Высшее техническое образование. Опыт разработки на Java от 5 лет. Отличное знание Spring. Опыт работы с SQL или NoSQL хранилищами...,"Разработка распределенных, отказоустойчивых систем обработки данных. Оптимизация работы хранилищ данных (Apache HBase, Apache Phoenix, Elasticsearch).",Senior Java Developer,data engineer,sql;apache;hbase;spring;java;phoenix;elasticsearch,senior
153,NA,183908.045977011,"Высшее техническое образование. Опыт разработки на Java/Spring от 3х лет. Знание английского языка (чтение документации, переписка). ","Разработка сети распределенных агентов для доставки клиентских данных. Интеграция с различными системами хранения данных клиента, например: RedBox, Nice Actimize, Active...",Java Developer,data engineer,spring;java;integration;redbox;actimize,middle
164,NA,150000,"Академический опыт, наличие научных публикаций. Знания в области <highlighttext>компьютерного</highlighttext> <highlighttext>зрения</highlighttext>, <highlighttext>NLP</highlighttext>, <highlighttext>deep</highlighttext> <highlighttext>learning</highlighttext>, алгоритмов для анализа графов. Участие в хакатонах...","...<highlighttext>построения</highlighttext> <highlighttext>моделей</highlighttext>. Поиск и адаптация к задачам компании современных технологий и библиотек для анализа данных и <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>, <highlighttext>компьютерного</highlighttext> <highlighttext>зрения</highlighttext>...",Senior Data Scientist,data scientist,algorithmms;nlp;graph;computer_vision,senior
179,NA,245000,"Опыт работы разработчиком <highlighttext>SAS</highlighttext> от 3 лет, опыт работы с продуктами <highlighttext>SAS</highlighttext> MA и/или <highlighttext>SAS</highlighttext> DIS. Опыт работы в...","Архитектор/тимлид (1 на команду, отдельный от других команд). Управление командой. Разработка ПО.",Архитектор/тимлид команды разработчиков SAS,manager,sas;experience,middle
187,172413.793103448,114942.528735632,"Иметь опыт работы с решениями из стека технологий <highlighttext>Big</highlighttext> <highlighttext>Data</highlighttext> (Hadoop, Spark, Kafka). Иметь опыт работы с Elastic Stack. ","Проверять идеи и технологии на прототипах. Работать совместно с коллегами для отладки и деплоя. Вникать в потребности <highlighttext>аналитиков</highlighttext>, чтобы делать...",Junior Data Developer,data engineer,deployment;hadoop;spark;kafka;elastic,junior
190,NA,229885.057471264,"Знание <highlighttext>python</highlighttext>: стандартные структуры данных (dict, list, set, модуль collections), pandas, <highlighttext>numpy</highlighttext>, h5py. - Знакомство с форматами данных: сsv...",<highlighttext>Построение</highlighttext> <highlighttext>модели</highlighttext> оценки удовлетворенностью сервисами Сбербанка. Построение рекомендаций по индивидуальным схемам обслуживания. <highlighttext>Построение</highlighttext> <highlighttext>модели</highlighttext> оценки эффективности Клиентских Менеджеров и рекомендаций...,Data Science Team Leader (г.Санкт-Петербург),manager,modeling;python;,middle
196,NA,100000,Знание теоретических основ и опыт практического применения статистических моделей и методов <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>. Желание решать нетривиальные задачи (самостоятельно и в...,"Мы разрабатываем сервис, который на основе <highlighttext>компьютерного</highlighttext> <highlighttext>зрения</highlighttext>, искусственного интеллекта и анализа данных помогает крупным торговым сетям следить за работой...",Data scientist,data scientist,computer_vision;algorithms,middle
222,183908.045977011,172413.793103448,"...на платформе <highlighttext>SAS</highlighttext>, Oracle). Владение SQL – на уровне составления запросов среднего уровня сложности. Знания ETL-инструментов (желательно <highlighttext>SAS</highlighttext> DIS, Informatica...","Сбор, анализ, формализация и согласование требований в части задач по: Исследованию источников данных, формированию требований к выгрузкам данных из источников...",Ведущий аналитик SAS (в банк),data engineer,sas;oracle;etl;sql,middle
224,229885.057471264,86206.8965517241,"Опыт программирования на <highlighttext>Python</highlighttext>. - Опыт применения библиотек для анализа данных (<highlighttext>NumPy</highlighttext>, pandas, SciPy, scikit-learn, <highlighttext>TensorFlow</highlighttext>, <highlighttext>Keras</highlighttext>, xgboost, LightGBM). - ",Разработке и внедрении методов <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>. - Исследовании данных для выявления статистических свойств. - Определении алгоритмов решения проблем <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>. - ,Quantitative Researcher/Data Scientist,data scientist,python;algorithms;keras;tensorflow,middle
228,120000,80000,Знание паттернов проектирования. Технический английский. Будет плюсом: Интерес к сфере инвестиций. Знания в области <highlighttext>Machine</highlighttext> <highlighttext>learning</highlighttext>. Опыт работы с Kubernetes.,NA,Программист-разработчик Python,data engineer,python; experince,middle
238,287356.32183908,195402.298850575,Опыт в проектировании и разработке распределенных систем на основе компонентов Hadoop. Практические навыки администрирования кластера Hadoop как с Cloudera Manager...,"Поддержка, развитие и мониторинг кластера Hadoop от Cloudera. Проектирование и оптимизация структур баз данных. Подготовка и оптимизация запросов, кода для...",Data Engineer,data engineer,hadoop;cloudera,middle
240,NA,206896.551724138,"Знание английского языка не ниже чем Upper-Intermediate. - Желателен опыт работы в стартапах на позиции, аналогичной по содержанию работы. - ","Принятие глобальных технических решений. - Внутренний технический арбитраж. - Блокчейн разработка. - Веб разработка. - Мобильная разработка. - Обеспечение кибербезопасности. - Выбор технологий, которые будут использоваться...",Технический директор/Chief Technical Officer (CTO),manager,language;knowledge;blockchain;cybersecurity;experience,middle
268,NA,90000,"Принципы написания и основы оптимизации SQL-запросов, знание VBA. Умение систематизировать и визуализировать большой объем информации, диагностировать западающие показатели, определять...","Разработка и поддержание Дашбордов ДТМиКА. Разработка и поддержание Olap отчетности. Автоматизация и поддержка отчетности ДТМиКА. Анализ, обработка и визуализация отчетности...",Аналитик коммерческой аналитики,data analyst,sql;vba;reporting,middle
272,183908.045977011,114942.528735632,"Фундаментальные знания языка <highlighttext>Python</highlighttext>, умение писать поддерживаемый, читаемый и тестируемый код. Понимание того, как работает современный web, и опыт разработки...","...автоматизирующие управление рекламными кампаниями и повышающие их эффективность. Работать с большими данными, используя ClickHouse, PostgreSQL, <highlighttext>NumPy</highlighttext>, Pandas и другие решения.",Python разработчик / Python Developer,data scientist,python;clickhouse;sql;,middle
286,NA,68965.5172413793,Высшее образование. Опыт работы в CRM и с базами данных. Опыт составления и визуализации графиков и диаграмм. Структурность мышления.,Подготовка и сегментация баз данных для рассылки. Создание сегментации клиентов методами <highlighttext>data</highlighttext> <highlighttext>mining</highlighttext>. Создание аналитических моделей для подбора персональных предложений...,Менеджер по маркетингу/Менеджер по администрированию CRM и MAS,data scientist,crm;segmentation;,middle
310,NA,229885,"NET Framework 4.0, C#, Microsoft SQL Server 2012, WinForms, WPF, ASP.Net, DevExpress. <highlighttext>Нейронные</highlighttext> <highlighttext>сети</highlighttext>. Знания паттернов и антипаттернов проектирования. ","Разработка новых и модернизация существующих бизнес-приложений для Back Office. Зоны ответственности: соответствие реализации решений требованиям пользователей, разработка архитектуры решений...",Разработчик нейронных сетей (разработчик .NET),data engineer,net;c;sql;asp;algorithms;,middle
317,NA,150000,"Умение работать с чужим кодом. Знание Agile, Kanban (желательно). Наличие портфолио разработчика (желательно). Знание алгоритмов <highlighttext>Machine</highlighttext> <highlighttext>Learning</highlighttext> (доп. преимущество).",Подготовка модели данных (подготовка источников) для BI. Дизайн и разработка дашбордов в BI. Участие в проекте по внедрению системы Sisense. ,Разработчик Bi/ Business Intelligence Specialist,data engineer,agile;kanban;reporting;,middle
