,salary_to,salary_from,req,resp,name,vacancy_type,skills,level
740,402298.850574713,321839.08045977,"Опыт разработки на С++ (мы пишем под Windows, но ваш Linux-опыт рассмотрим с радостью). Опыт управления командами разработчиков. ",Системы хранения и обработки <highlighttext>Big</highlighttext> <highlighttext>Data</highlighttext>. Отказоустойчивые геораспределенные системы с минимальным временем отклика (low latency). Системы поведенческого анализа: поиск поведенческих...,"Ведущий С++ разработчик (Лимасол, Кипр)",data engineer,c;linux;,middle
755,NA,100000,"Технический ВУЗ, отличные оценки по математическим дисциплинам. Хороший уровень английского (чтение и написание). Хороший уровень C/C++. Умение самостоятельно проводить...","Разработка алгоритмов построения и анализа модели сцены (SLAM, DSO, др). Обучение нейронных сетей. Гражданство РФ.",Ведущий разработчик алгоритмов обработки изображений,data scientist,c;language;algorithms,middle
774,91954.0229885057,68965.5172413793,"Высшее образование: математика, экономика. Опыт в количественных, кабинетных исследованиях. Опыт в <highlighttext>аналитике</highlighttext> <highlighttext>данных</highlighttext>, в построении баз данных. Умение интерпретировать данные...","...данных, анализом, <highlighttext>построением</highlighttext> <highlighttext>моделей</highlighttext>, проведением экспериментов и консультированием, направленным на повышение эффективности бизнесов в интернете. Нам нужен <highlighttext>аналитик</highlighttext>-исследователь, который...",Маркетинговый аналитик,data scientist,experience; modeling,middle
778,NA,229885.057471264,"Высшее образование (желательно математическое, бизнес-анализ, информатик-<highlighttext>аналитик</highlighttext>, ИТ или другое подобное - будут крайне полезны базовые знания о СУБД, информационных...","Развитие клиентской базы компании по направлению BI и <highlighttext>Big</highlighttext> <highlighttext>Data</highlighttext>. Разработка и отслеживание KPIs команды. Изучение перспективных рынков, участие в...",Руководитель отдела продаж информационных систем,manager,db;,middle
792,120000,90000,"Опыт разработки на RoR от 1.5 лет. Владение SQL (в т.ч. без ORM), оптимизация запросов и хранения данных...","...задач, распределенными вычислениями, конечными автоматами, разработкой системы смарт-контрактов и, немного, <highlighttext>компьютерным</highlighttext> <highlighttext>зрением</highlighttext>. Создание автоматических юнит-тестов для написанного кода.",Middle backend developer,data engineer,ruby;experience;sql;computer_vision;blockchain,middle
800,229885.057471264,160919.540229885,Высшее техническое образование (желательно). Английский язык - технический уровень (возможность читать документацию). Знание ANSI SQL (желательно Oracle SQL 11g/12...,Разработка и развитие хранилища данных и управленческой отчетности компании. Анализ технического задания. Проектирование staging и хранилища данных. Создание ETL (ELT...,Программист DataWarehouse,data engineer,sql;oracle;language;design;etl;,middle
815,91954.0229885057,45977.0114942529,"Участвовал в качестве консультанта в средних и крупных проектах. Имеет начальный опыт, готовый к дальнейшему развитию. Готов выстраивать позитивные коммуникации...","Построение и оптимизация моделей планирования, правил сбора факта и актуализации бюджетов (бюджетирование), <highlighttext>построение</highlighttext> <highlighttext>моделей</highlighttext> сценарного и факторного анализа. ",Консультант,data analyst,modeling;,middle
823,NA,70000,"Высшее профессиональное образование (IT, маркетинг и т.п.). Опыт работы по продвижению продуктов от 2-х лет (огромным плюсом будет...","Взаимодействие со штатными сотрудниками организации (дизайнер, разработчики, тестировщики и др.). Привлечение трафика, увеличение конверсии. <highlighttext>Аналитика</highlighttext> <highlighttext>данных</highlighttext> сайта и рекламных кампаний. ",Маркетолог по продукту,data analyst,experience;,middle
826,NA,150000,"Умение работать с чужим кодом. Знание Agile, Kanban (желательно). Наличие портфолио разработчика (желательно). Знание алгоритмов <highlighttext>Machine</highlighttext> <highlighttext>Learning</highlighttext> (доп. преимущество).",Подготовка модели данных (подготовка источников) для BI. Дизайн и разработка дашбордов в BI. Участие в проекте по внедрению системы Sisense. ,Разработчик Bi/ Business Intelligence Specialist,data scientist,agile;kanban;reporting;,middle
842,70000,60000,Обязательное владение - Spider Project. Знание СНиП ГОСТ и ТУ на строительство дорог и искусственных сооружений. Опыт работы от 1 года...,"Получение , обработка и <highlighttext>аналитика</highlighttext> <highlighttext>данных</highlighttext> с объектов строительства. Ведение проекта в ПО Spider Project. Составление графиков ПР, авансирования, финансирования и...",Инженер ПТО/отдела производственного планирования и контроля,data analyst,spider;project;,middle
942,172413.793103448,114942.528735632,"это в идеале, не в рознице тоже подойдет). Допустимо - математик-<highlighttext>аналитик</highlighttext> с опытом <highlighttext>построения</highlighttext> <highlighttext>моделей</highlighttext> процессов с многомерным анализом данных...","...клиенту и дизайне продукта - но этому всему научим (главное экспертиза как <highlighttext>аналитика</highlighttext>), если пункт первый есть, а остальное не делали.",Аналитик-консультант по процессам автозакупок в розничных сетях (автоматизация),data scientist,experience; modeling,middle
957,500000,300000,"Перспективное видение развития IT, способность находить наилучшее отраслевое решение для обеспечения лидерства за счет опережающих ИТ-решений. Способность соотносить IT...","Компетенции в прикладных IT-решениях (розничная торговля, сетевой формат, логистика/склад, интернет-магазин, производство). Предложение:","IT-директор (CDO, сетевой ритейл и e-commerce)",manager,experience;,middle
1016,NA,90000,"...языке <highlighttext>Python</highlighttext> (<highlighttext>numpy</highlighttext>, scipy, sympy, pandas, scikit-learn). Способность создания программного кода на языке С++ по прототипу на <highlighttext>Python</highlighttext>. ","Разработка и реализация проектов высоконагруженных приложений. Написание, отладка, тестирование и документирование программного кода.",Программист С++,data engineer,python;scipy;numpy;pandas;scikit_learn;c;,middle
1029,NA,100000,Владение R. Базовые знания в области анализа данных и <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>. Наличие актуальных проектов в портфолио. Наличие опыта визуализации данных...,Участие в разработке интерфейса и back-end&#39;a системы анализа больших неструктурированных данных. Разработка и поддержание REST API. ,Full-stack developer,data engineer,rest;r;algorithms,middle
1040,150000,100000,"опыт и желание развиваться в области веб-технологий (JavaScript\Node.js), <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext> и анализа данных (язык R, библиотеки <highlighttext>Python</highlighttext>, Qlik...",участие в сопровождении и доработке программных продуктов в области управления логистикой на базе 1с Предприятие 8.3 (управляемые формы...,Программист 1C,data engineer,javascript;python;r;1c;,middle
1043,206896.551724138,68965.5172413793,"Опыт работы с генетическими данными. Приветствуются знания в области <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext> (будет необходимость освоить): linear discriminant analysis, Bayes Inference, support...","Работать с генетическими данными микрочипового генотипирования и NGS. Выстраивать пайплайн статистического анализа для генетических тестов по генеалогии, фармакогенетике, генетике предрасположенностей...",Статистик / data scientist,data scientist,algorithms;gens;,middle
1044,NA,200000,...Java / Scala / <highlighttext>Python</highlighttext>). Знание SQL и основ теории баз данных. Опыт подготовки проектной документации. Знание основных алгоритмов <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>. ,NA,Project Manager BigData,project manager,python;java;scala;sql;algorithms;,middle
1051,NA,80459.7701149425,"Знание процедурного языка PL/SQL (предпочтительноPL/pgSQL). Опыт работы с 1С. Знание систем веб-<highlighttext>аналитики</highlighttext>: Google Analytics (предпочтительно), Yandex...","Ведение регулярной (еженедельной, ежемесячной) аналитической отчетности: продажи, активность пользователей, движение стока, операции, PnL. <highlighttext>Аналитика</highlighttext> <highlighttext>данных</highlighttext> в учетных системах, составление аналитических...",Аналитик,data analyst,sql;1c;google_analytics;yandex_metrics;reporting;,middle
1057,NA,172413.793103448,"Знание хотя бы одного скриптового языка (Perl / <highlighttext>Python</highlighttext> / Ruby). Знания в области Application Security, умение находить и эксплуатировать основные уязвимости...",...специальных правил анализа исходного кода. Участие в разработке AI (Artificial Intelligence) платформы интеграции AppSec-инструментов на базе технологий <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>.,Application security engineer,data engineer,perl;python;ruby;algorithms;,middle
1060,68965.5172413793,57471.2643678161,Высшее образование. Руководящий опыт. Знание <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>. Отличное знание русского языка и желательно разговорного английского языка. Навыки деловой переписки. ,Формирование управленческой отчетности по всем параметрам работы фитнес- департамента. Проведение <highlighttext>аналитики</highlighttext> по бизнес- процесса департамента 50% рабочего времени. ,"Бизнес-ассистент/ аналитик, помощник руководителя (фитнес департамент)",data analyst,language;reporting;,middle
1073,NA,287356.32183908,Высшее образование по профилю. Уверенные знания <highlighttext>Python</highlighttext> со знанием библиотек Matplotlib и <highlighttext>NumPy</highlighttext>. Знания Java и его основных фреймворков (Spring...,"IT-компания при поддержке и курировании крупного российского банка, занимающаяся разработкой проекта по визуализации и техническому анализу рынка облигаций и...",Senior Software Engineer,data engineer,python;numpy;java;spring;,middle
1087,NA,68965.5172413793,"...языке <highlighttext>Python</highlighttext> 3.х. Образование высшее или среднее по специальностям, связанным с системами управления базами данных, вычислительной математикой, <highlighttext>машинным</highlighttext> <highlighttext>обучением</highlighttext>...",Разработка технологий хранения и обработки данных. Разработка требований к базам данных и приложениям обработки данных. Разработка структур для хранения прикладных...,Ведущий специалист по алгоритмам и структурам данных,data engineer,python;experience;design,middle
1092,NA,110000,"Умение работать в команде с разработчиками, бизнес-<highlighttext>аналитиками</highlighttext> и системными <highlighttext>аналитиками</highlighttext>. Стремление к постоянному развитию и достижению лучших финансовых результатов. ",Автоматизация зданий и интеллектуальные города. Удаленное управление и мониторинг. Ситуационные центры и <highlighttext>аналитика</highlighttext>/BI. OEM-решения по мониторингу и управлению...,Архитектор решений (IT/IoT/автоматизация),project manager,,middle
